yaw,pitch,roll,yawt,pitcht,rollt
0.271971149,0.657932696,-0.875803109,0.52294502,0.44893492,-0.867762495
0.062796963,0.611282278,-0.867390601,-0.006492355,0.448590671,-0.779327236
-0.137412357,0.602461151,-0.794886683,-0.495326132,0.510396909,-0.677230561
-0.325799237,0.617652803,-0.73436587,-0.853996654,0.634733876,-0.500877372
-0.51703141,0.639709573,-0.69896159,-1.025850594,0.768094111,-0.318239264
-0.704170424,0.632627639,-0.665189356,-1.01380713,0.878730416,-0.203450425
-0.775591326,0.625816603,-0.587150768,-0.83805684,0.961495954,-0.166632831
-0.70082517,0.657181834,-0.4722853,-0.542208202,0.995276752,-0.204841841
-0.545602099,0.783166341,-0.402124046,-0.231400137,1.017558072,-0.255054936
-0.23604845,0.906408339,-0.339758818,0.060371833,1.019917798,-0.265168224
0.211649796,0.996939328,-0.287627054,0.298457216,1.021144184,-0.360735931
0.683270364,1.025671719,-0.289571459,0.38137058,0.999999448,-0.489485344
1.088610094,1.013726327,-0.367834035,0.378434992,0.977183603,-0.573354734
1.450982053,1.043495667,-0.498886097,0.36048392,0.952549193,-0.545714752
1.7761359,1.052070511,-0.652656305,0.373601305,0.950152925,-0.482762831
2.021905501,0.950064719,-0.809471082,0.496510562,0.974101441,-0.46322787
2.12064896,0.825880953,-0.938506387,0.587121819,1.004845642,-0.514273929
2.057540224,0.732564846,-1.076077918,0.677308205,0.953364632,-0.500481747
1.962881097,0.70357436,-1.163003385,0.882977028,0.895887426,-0.439879588
1.930593446,0.71214268,-1.177810051,1.090564325,0.866995972,-0.392101285
1.820245993,0.657702244,-1.174483171,1.216151938,0.847450741,-0.385341432
1.59893209,0.581034049,-1.166439694,1.186592706,0.832026577,-0.432656245
1.374010969,0.53207752,-1.107456096,1.052879008,0.793905154,-0.42564317
1.134357214,0.484544534,-1.061496066,0.933934515,0.755559274,-0.413454785
0.870493439,0.459940477,-1.009103522,0.816799863,0.765098777,-0.426358358
0.484275101,0.436339527,-0.930013409,0.663301233,0.758987088,-0.482342399
-0.045162274,0.435995278,-0.84157815,0.480031983,0.765535406,-0.539346009
-0.533996051,0.497801516,-0.739481475,0.295178253,0.790379186,-0.589912608
-0.892666573,0.622138483,-0.563128286,0.215701636,0.807239135,-0.556799006
-1.064520513,0.755498718,-0.380490178,0.184825132,0.854367284,-0.54536748
-1.052477049,0.866135023,-0.265701339,0.208286456,0.880235094,-0.538043603
-0.876726759,0.948900561,-0.228883745,0.207709773,0.844645231,-0.565548469
-0.580878121,0.982681359,-0.267092755,0.159586353,0.843124147,-0.566520752
-0.270070056,1.004962679,-0.31730585,0.080597059,0.802561929,-0.553682108
0.021701914,1.007322405,-0.327419138,4.66E-05,0.767175136,-0.557200185
0.259787297,1.008548791,-0.422986845,-0.149593368,0.742836036,-0.571684963
0.342700661,0.987404055,-0.551736258,-0.299019435,0.693910451,-0.574893121
0.339765073,0.96458821,-0.635605648,-0.447793395,0.673934297,-0.560248158
