w,x,y,z
0.899293602,-0.05067962,-0.434271485,-0.01,1511591996701.82
0.899816155,-0.001244878,-0.435902536,0.02,1511591996750.93
0.896389961,0.059590321,-0.435853094,0.05,1511591996802.09
0.887827396,0.123097785,-0.433854759,0.09,1511591996854.24
0.883164525,0.145771995,-0.433093876,0.11,1511591996874.24
0.883164525,0.145771995,-0.433093876,0.11,1511591996874.24
0.822430789,0.32770285,-0.415668219,0.21,1511591997001.27
0.780269623,0.40533483,-0.403888404,0.25,1511591997051.41
0.750048637,0.451937795,-0.39426291,0.28,1511591997087.48
0.681217194,0.538242579,-0.370271862,0.33,1511591997137.54
0.605364799,0.611373067,-0.342172205,0.38,1511591997191.26
0.550536811,0.653837502,-0.320162296,0.41,1511591997238.91
0.522156119,0.674387038,-0.308701247,0.42,1511591997284.65
0.5064044,0.684909761,-0.301623553,0.43,1511591997336.63
0.502984226,0.686880291,-0.299178928,0.43,1511591997384.95
0.503469467,0.686912119,-0.298205048,0.43,1511591997439.14
0.50580442,0.685875416,-0.298818409,0.43,1511591997489.25
0.508625984,0.68471247,-0.29919529,0.43,1511591997534.31
0.512131691,0.682744324,-0.300230533,0.43,1511591997569.41
0.526688397,0.673276603,-0.307414681,0.42,1511591997618.52
0.547822177,0.657709956,-0.319363356,0.41,1511591997651.62
0.584167719,0.627378762,-0.339640141,0.39,1511591997690.56
0.584167719,0.627378762,-0.339640141,0.39,1511591997690.56
0.584167719,0.627378762,-0.339640141,0.39,1511591997690.56
0.761531711,0.414414078,-0.426567256,0.26,1511591997837.12
0.805941164,0.329148799,-0.445169717,0.21,1511591997885.75
0.841108203,0.238900557,-0.459017962,0.16,1511591997921.82
0.869230866,0.117443062,-0.472704977,0.08,1511591997971.48
0.877313256,0.021385312,-0.478495806,0.03,1511591998022.78
0.87253046,-0.078697778,-0.481567085,-0.02,1511591998067.87
0.859312654,-0.176767126,-0.473542005,-0.08,1511591998121.93
0.841714501,-0.259866446,-0.45565021,-0.13,1511591998168.03
0.826137364,-0.308528215,-0.442596853,-0.16,1511591998218.19
0.802599788,-0.36354512,-0.428352356,-0.2,1511591998272.35
0.779524803,-0.411280274,-0.413860261,-0.23,1511591998322.60
0.767041862,-0.436989307,-0.404740572,-0.24,1511591998372.65
0.757183075,-0.454841614,-0.398705274,-0.25,1511591998413.76
0.757183075,-0.454841614,-0.398705274,-0.25,1511591998413.76
0.757183075,-0.454841614,-0.398705274,-0.25,1511591998413.76
0.747249603,-0.471170664,-0.391505569,-0.26,1511591998571.70
0.74791348,-0.469825059,-0.392421126,-0.26,1511591998602.22
0.749133885,-0.468139857,-0.39310506,-0.26,1511591998634.31
0.750227153,-0.466058999,-0.393862128,-0.25,1511591998684.41
0.750022531,-0.46596849,-0.39459601,-0.25,1511591998721.54
0.749405146,-0.466216624,-0.395034879,-0.25,1511591998768.67
0.74889791,-0.4668203,-0.395147115,-0.26,1511591998806.08
0.749168396,-0.466372341,-0.395701975,-0.25,1511591998853.87
0.749695122,-0.46584639,-0.395679951,-0.25,1511591998887.98
0.750178277,-0.465021223,-0.396182686,-0.25,1511591998918.31
0.750996351,-0.463720858,-0.39691481,-0.25,1511591998951.17
0.752297103,-0.462203711,-0.396930724,-0.25,1511591998987.78
0.75330025,-0.460920781,-0.396858126,-0.25,1511591999017.97
0.759313107,-0.452471107,-0.398549825,-0.24,1511591999056.19
0.766102314,-0.442463249,-0.400372088,-0.24,1511591999091.13
0.776316881,-0.426001191,-0.403143704,-0.23,1511591999118.40
0.7911762,-0.399954885,-0.407952636,-0.22,1511591999152.37
0.813269615,-0.356876343,-0.415892988,-0.2,1511591999204.49
0.841605663,-0.290070444,-0.426786512,-0.16,1511591999255.82
0.86407268,-0.221864596,-0.434489369,-0.12,1511591999301.75
0.884895146,-0.130013198,-0.440675288,-0.08,1511591999354.94
0.896373153,-0.024221962,-0.442147911,-0.02,1511591999407.80
0.895043492,0.060683679,-0.44097048,0.03,1511591999451.20
0.88332057,0.151091889,-0.436805904,0.08,1511591999504.32
