3.03317,1.46585,3.07854,,,,,,,,,,,,,,,,
3.03495,1.46551,3.08021,,,,,,,,,,,,,,,,
3.02435,1.46478,3.07055,,,,,,,,,,,,,,,,
3.02369,1.46531,3.06976,,,,,,,,,,,,,,,,
3.02092,1.46474,3.06703,,,,,,,,,,,,,,,,
3.02068,1.46492,3.06674,,,,,,,,,,,,,,,,
3.02897,1.46572,3.07429,,,,,,,,,,,,,,,,
3.02874,1.46545,3.07432,,,,,,,,,,,,,,,,
3.03308,1.46522,3.07863,,,,,,,,,,,,,,,,
3.02615,1.46444,3.07223,,,,,,,,,,,,,,,,
3.02684,1.46409,3.07319,,,,,,,,,,,,,,,,
3.04269,1.46486,3.08833,,,,,,,,,,,,,,,,
3.02174,1.46547,3.06887,,,,,,,,,,,,,,,,
2.97142,1.46599,3.02098,,,,,,,,,,,,,,,,
2.95793,1.4646,3.00671,,,,,,,,,,,,,,,,
2.97087,1.46472,3.01884,,,,,,,,,,,,,,,,
2.9596,1.46499,3.00877,,,,,,,,,,,,,,,,
2.96709,1.46511,3.01573,,,,,,,,,,,,,,,,
2.96627,1.46447,3.01547,,,,,,,,,,,,,,,,
2.95562,1.46664,3.00437,,,,,,,,,,,,,,,,
2.94677,1.46729,2.9955,,,,,,,,,,,,,,,,
2.94921,1.46905,2.9963,,,,,,,,,,,,,-0.0128442393615841,0.7429029345512390,0.0191960167139768,0.6690005660057060
2.96471,1.47111,3.01021,,,,,,,,,,,,,3.03317,1.46585,3.07854,
2.95546,1.47204,3.00175,,,,,,,,,,,,,x,y,z,
2.94267,1.47165,2.99073,,,,,,,,,,,,,,,,
2.95688,1.47261,3.00352,,,,,,,,,,,,,,,,
2.93243,1.47499,2.9786,,,,,,,,,,,,,,,,
2.873,1.47529,2.9207,,,,,,,,,,,,,,,,
2.86221,1.47539,2.90931,,,,,,,,,,,,,,,,
2.91507,1.47883,2.95806,,,,,,,,,,,,,,,,
2.95581,1.47989,2.99645,,,,,,,,,,,,,,,,
2.998,1.4843,3.03656,,,,,,,,,,,,,,,,
2.98896,1.49093,3.02976,,,,,,,,,,,,,,,,
2.99244,1.49545,3.03625,,,,,,,,,,,,,,,,
2.9088,1.50128,2.9585,,,,,,,,,,,,,,,,
2.90797,1.50199,2.95819,,,,,,,,,,,,,,,,
2.93407,1.50316,2.98296,,,,,,,,,,,,,,,,
3.02995,1.5036,3.07488,,,,,,,,,,,,,,,,
3.08649,1.49433,3.13175,,,,,,,,,,,,,,,,
-3.08952,1.49659,-3.04848,,,,,,,,,,,,,,,,
-2.85162,1.49704,-2.81545,,,,,,,,,,,,,,,,
-2.84052,1.49422,-2.80337,,,,,,,,,,,,,,,,
-2.97468,1.49827,-2.93505,,,,,,,,,,,,,,,,
-2.95926,1.49915,-2.92045,,,,,,,,,,,,,,,,
-3.12288,1.50811,-3.10743,,,,,,,,,,,,,,,,
2.78382,1.50762,2.75901,,,,,,,,,,,,,,,,
2.65781,1.50098,2.62487,,,,,,,,,,,,,,,,
2.75433,1.50243,2.74154,,,,,,,,,,,,,,,,
