yaw,pitch,roll
2.372539937,0.585332709,1.482159214
2.311543671,0.517204566,1.508459399
2.263892467,0.430739926,1.574207461
2.116659604,0.376595482,1.636356267
2.012739796,0.295325558,1.724454286
1.829282037,0.256073176,1.762349133
1.707934331,0.225231126,1.765014472
1.679524713,0.226645316,1.781221163
1.732108121,0.215132949,1.744431024
1.70012639,0.129899245,1.568401385
1.741889938,0.041444577,1.38429348
1.764510957,-0.035525837,1.198650766
1.78027156,-0.117634027,0.971809232
1.749934336,-0.1213799,0.744110004
1.744995606,-0.110027128,0.613689142
1.726349181,-0.163110045,0.616598589
1.802064281,-0.094240573,0.747034121
1.863776687,0.121504044,0.907172101
1.954968074,0.397697173,0.965685465
2.004749256,0.511899058,1.019181631
2.022542636,0.409703663,1.095106269
2.009509807,0.389105344,1.024923309
2.007655713,0.42930063,0.965187809
1.967445057,0.318098099,0.85519172
2.021047957,0.165373633,0.800632117
2.094292776,-0.033363343,0.926051649
2.184878353,-0.021462692,1.101074744
2.300952561,0.139760544,1.180248075
2.422761486,0.108620612,1.259282357
2.50271865,0.036678143,1.205426682
2.606669173,0.089749383,1.235222586
2.687163961,0.158148255,1.287365661
2.779633858,0.371261902,1.26248709
2.889396676,0.537055848,1.192993078
3.0314699,0.639324771,1.257408533
3.136932284,0.751047208,1.348283057
3.210179507,0.839907872,1.417529568
3.221769403,0.918327542,1.363458198
3.257347697,0.996327111,1.326894209
3.560140353,0.966880621,1.357414188
4.14651206,0.942605893,1.487855179
5.127033113,0.976913082,1.625318812
6.592897971,1.067150675,1.776237975
8.892376361,1.20179857,1.872532469
12.13763719,1.171060439,1.871089923
16.49876472,0.92898519,1.682720261
21.83599626,0.727121752,1.401500651
28.03437088,0.410835096,0.900764862
34.94988289,-0.10077489,0.197417444
42.34707163,-0.584602163,-0.539688898
49.8746071,-1.044047702,-1.296890705
57.31893959,-1.424879686,-1.949244885
64.08724845,-1.642783642,-2.474698576
69.84539355,-1.97253026,-2.897799898
74.6615298,-2.234590015,-3.030637942
78.28689369,-2.291645486,-3.071542048
80.58214801,-2.320389589,-3.035440245
81.365405,-2.356555247,-2.796391392
