yaw,pitch,roll
2.75702992,0.551673896,0.709496131
2.805229997,0.530966038,0.713751489
2.858218637,0.513374544,0.749974732
2.876651046,0.542523405,0.804937251
2.831785821,0.556084812,0.850283272
2.698508086,0.549306262,0.898062326
2.513402323,0.547440772,0.949094923
2.419577211,0.567680049,0.992041773
2.46467028,0.580833192,1.027795086
2.455534403,0.538024744,0.993627181
2.402092947,0.473427805,0.963729306
2.38330881,0.428884678,0.957808727
2.362446807,0.408261609,0.918338496
2.303305956,0.426653209,0.824217002
2.221201361,0.454258174,0.763089546
2.125820037,0.432293318,0.765103541
2.082514927,0.436434878,0.808180258
2.052254364,0.483844891,0.85866212
2.061514637,0.574422867,0.881641233
2.080526096,0.600774531,0.882397191
2.057300259,0.533057543,0.929689118
1.998929136,0.474316061,0.929346171
1.890035367,0.483866047,0.922907558
1.781604777,0.453036948,0.889130023
1.751320759,0.427097027,0.871398979
1.806252081,0.35411997,0.890503195
1.914012676,0.364309594,0.947928789
2.038314626,0.476731583,0.949110177
2.156025561,0.526384272,0.934179821
2.23519051,0.505901125,0.861647895
2.248870591,0.510071178,0.83048366
2.195915327,0.501347575,0.803283065
2.099141449,0.559624566,0.761358493
2.002297776,0.609929072,0.706968768
2.005575007,0.586346638,0.678417416
2.042524716,0.530113224,0.678312231
2.134941644,0.509272751,0.688372438
2.21488925,0.517373652,0.643722309
2.24856306,0.556143694,0.625635819
2.314285333,0.581243324,0.68191973
2.48625845,0.591727985,0.768117545
2.630977324,0.676974174,0.920997022
2.757076997,0.876178215,1.140358537
2.895187539,1.138692041,1.374183455
3.197321497,1.360037818,1.555592255
3.689839011,1.49660343,1.611235668
4.335147416,1.617233106,1.584227032
5.181301389,1.753818021,1.486111042
6.33498941,1.780241489,1.23852472
7.883778863,1.671368441,0.852360988
9.845380944,1.466712351,0.361279609
12.20005893,1.207925262,-0.174243855
14.92018388,0.934449249,-0.751144069
17.88480557,0.598710796,-1.3932815
21.03926844,0.115201974,-1.977714541
24.26819909,-0.418419035,-2.49983347
27.45692652,-0.930960536,-2.967549798
30.56635488,-1.471495545,-3.333750438
33.44273163,-2.041596367,-3.577864254
36.01029481,-2.607254954,-3.625116767
38.22433454,-3.094062198,-3.472336964
39.98080776,-3.374029217,-3.223697517
41.30604185,-3.443927302,-2.853294257
42.16983316,-3.293048361,-2.375829132
42.57524708,-2.911359249,-1.829720791
42.62340151,-2.325449629,-1.234152078
42.35807183,-1.600241918,-0.659742815
41.8634516,-0.813183849,-0.129406015
41.24436014,-0.076661666,0.359360096
40.54335423,0.566031941,0.709366944
39.79990248,1.021094624,0.935039937
39.06826017,1.32259327,1.078229536
38.31098872,1.453718037,1.151284548
37.50195477,1.433149525,1.157471442
36.63886043,1.29821497,1.109863296
35.65969548,1.103139589,1.020727878
34.48363032,0.917947674,0.991655747
33.08437247,0.868055662,1.046376534
31.38776481,0.965460886,1.140975636
29.33972253,1.26155005,1.188491024
27.00177232,1.784075326,1.208592472
24.42929529,2.486527453,1.185093827
21.6797627,3.314093955,1.094663826
18.92449861,4.209160883,0.999745747
16.17937201,5.04197473,0.832487431
13.57096716,5.658470341,0.654138118
11.28378654,6.006626028,0.568413408
9.296886266,6.051178756,0.5193754
7.599714659,5.817541018,0.538461929
6.203775183,5.340776716,0.652719516
5.045616593,4.628207656,0.789538078
4.169125031,3.761799752,0.967771757
3.495575714,2.873386068,1.107461674
2.951631264,2.002673811,1.177954186
2.581781386,1.157126963,1.267660518
2.340598261,0.449628852,1.353268262
2.140198649,-0.077077413,1.404265367
1.928400209,-0.447420163,1.459697851
1.682035476,-0.65916874,1.536227596
1.399563629,-0.787811331,1.603508828
1.059213877,-0.808555465,1.681079162
0.67832359,-0.664510268,1.746967852
0.357317331,-0.460320431,1.80519288
0.154149256,-0.281314705,1.80138454
-0.016016909,-0.152548784,1.689827876
-0.163461316,-0.001088279,1.525133937
-0.239765486,0.171142139,1.452475176
-0.142886937,0.291112354,1.452141983
0.047122361,0.313660628,1.46570038
0.261224846,0.292077889,1.46829905
0.514938873,0.236837828,1.474335752
0.824276293,0.181923817,1.496768536
1.119150664,0.035482744,1.513168702
1.352899257,-0.073514862,1.478998939
1.540011789,-0.042072377,1.444178182
1.691655821,0.115458653,1.396258028
1.715402366,0.27922111,1.300109025
1.622183761,0.427653777,1.264384011
1.486934211,0.613413113,1.285939445
1.344909353,0.840485367,1.316625185
1.20827935,1.03264779,1.341000013
1.071985651,1.11126183,1.35234808
0.974287773,1.052106639,1.347320232
0.946529543,0.963100477,1.334428527
1.010442766,0.906182685,1.323270831
1.134131776,0.827644495,1.3031546
1.376939836,0.726605886,1.330165484
1.753351076,0.598568021,1.33283366
2.122856954,0.471359815,1.257533696
2.348387071,0.357517468,1.136706936
2.451106773,0.240138192,1.057604011
2.496520093,0.136450111,0.985171369
2.588177324,0.07124152,0.946681128
2.624755461,0.058885209,0.906744961
2.531487493,0.09445013,0.924411856
2.386481143,0.179705426,0.994609307
2.288931744,0.302964705,1.075149923
