yaw,pitch,roll
2.512552518,0.440126684,0.77478296
2.469247408,0.444268244,0.817859677
2.438986845,0.491678257,0.868341539
2.448247118,0.582256233,0.891320652
2.467258577,0.608607897,0.89207661
2.44403274,0.540890909,0.939368537
2.385661617,0.482149427,0.93902559
2.276767848,0.491699413,0.932586977
2.168337258,0.460870314,0.898809442
2.13805324,0.434930393,0.881078398
2.192984562,0.361953336,0.900182614
2.300745157,0.37214296,0.957608208
2.425047107,0.484564949,0.958789596
2.542758042,0.534217638,0.94385924
2.621922991,0.513734491,0.871327314
2.635603072,0.517904544,0.840163079
2.582647808,0.509180941,0.812962484
2.48587393,0.567457932,0.771037912
2.389030257,0.617762438,0.716648187
2.392307488,0.594180004,0.688096835
2.429257197,0.53794659,0.68799165
2.521674125,0.517106117,0.698051857
2.601621731,0.525207018,0.653401728
2.635295541,0.56397706,0.635315238
2.701017814,0.58907669,0.691599149
2.872990931,0.599561351,0.777796964
3.017709805,0.68480754,0.930676441
3.143809478,0.884011581,1.150037956
3.28192002,1.146525407,1.383862874
3.584053978,1.367871184,1.565271674
4.076571492,1.504436796,1.620915087
4.721879897,1.625066472,1.593906451
5.56803387,1.761651387,1.495790461
6.721721891,1.788074855,1.248204139
8.270511344,1.679201807,0.862040407
10.23211342,1.474545717,0.370959028
12.58679141,1.215758628,-0.164564436
15.30691636,0.942282615,-0.74146465
18.27153805,0.606544162,-1.383602081
21.42600092,0.12303534,-1.968035122
24.65493157,-0.410585669,-2.490154051
27.843659,-0.92312717,-2.957870379
30.95308737,-1.463662179,-3.324071019
33.82946411,-2.033763001,-3.568184835
36.39702729,-2.599421588,-3.615437348
38.61106702,-3.086228832,-3.462657545
40.36754024,-3.366195851,-3.214018098
41.69277433,-3.436093936,-2.843614838
42.55656564,-3.285214995,-2.366149713
42.96197956,-2.903525883,-1.820041372
43.01013399,-2.317616263,-1.224472659
42.74480431,-1.592408552,-0.650063396
42.25018408,-0.805350483,-0.119726596
41.63109262,-0.0688283,0.369039515
40.93008671,0.573865307,0.719046363
40.18663496,1.02892799,0.944719356
